"gene","nodescore"
"GRAMD1B",0.242197713522815
"RNH1",0.399096481075087
"NDUFS1",0.350333272742427
"RB1CC1",0.441054564028835
"ERP44",0.347809271366586
"ALAS1",0.536289799954359
"BIRC3",0.322704883377033
"AKAP11",0.952675445566927
"GLRX2",1
"SNAPC1",0.329007056794679
"DERA",0.558989165034034
"STRAP",0.847695713744291
"ABCC2",0.316675238320703
"DEF6",1
"PLEKHO1",1
"GCLM",0.520649956638991
"UBR2",0.347793585073052
"EHD2",1
"DEPDC1",1
"CCDC28A",0.548154469307466
"RRAGD",1
"HSF2",0.0935342296002592
"PHF20",0.887777982674641
"HSD17B6",1
"NR1H3",1
"TYMP",1
"NCAPH2",0.895530652705723
"TOMM34",1
"SEC63",0.430504313496769
"KPNA6",0.501041886451115
"VIM",1
"RTEL1-TNFRSF6B",0.863490105894746
"FAS",0.793514957890795
"RNASET2",1
"CD44",0.644885004655379
"KCNG1",0.979491100614128
"AGPAT4",0.65324174738345
"SLAMF7",0.69953758903764
"BTN3A1",0.465530450910761
"MIPEP",0.951038484986129
"PRKCH",0.916411304837978
"INSRR",0.472842699237861
"IFNGR1",1
"B4GALT7",1
"SH2D2A",1
"VRK2",0.90834959575712
"TNFRSF1B",0.985449308111322
"VEZT",0.850812438410483
"POU2F2",0.535187005510268
"BRD9",0.697124363295806
"SNX1",1
"TBPL1",0.404412665446065
"ARNTL2",0.742482295678901
"BCLAF1",0.34848515246532
"SLC39A9",0.94670613085744
"ANK1",0.912887510309526
"IBSP",1
"TFB1M",0.746011787819414
"RABEP1",0.432403921944226
"HMGB3",1
"NUP160",0.470470798369347
"BAK1",1
"MUSK",0.426606506474571
"IKZF2",0.649297744816326
"GRN",1
"FAM13B",1
"ARHGAP31",1
"CENPQ",0.83582075207542
"SARS",0.591463279702476
"RANBP3",1
"ARID4A",1
"EIPR1",1
"PNPLA6",0.868538312455423
"IFT88",0.709975568733556
"ALG1",1
"ZCCHC8",0.480543543404295
"ABCF2",1
"CHPF2",1
"LRRC7",0.459123957249904
"FUT8",1
"UBA6",0.784770107329013
"GAB2",0.414421950256472
"ATP6V0A1",0.317106784477695
"PIAS1",0.834665872099836
"SLC4A7",0.275506061354174
"APBA2",0.859250349213524
"MAP2K3",0.347068976051776
"EFCAB1",1
"TMSB10",1
"ASTE1",0.51539832257033
"RNF19A",0.654940138237515
"PEX3",0.524913155581166
"GABARAPL2",0.57152825577104
"MYOC",1
"SH3YL1",0.262197230156633
"FAM136A",1
"VCL",1
"DEPDC1B",1
"DAPK2",1
"NSMAF",0.381322168994866
"ADSS",1
"STAP1",0.900438920379159
"TIMP2",1
"RFC1",0.51811362212737
"TBC1D23",0.336348693529135
"CUL3",0.564598110837613
"MYOM2",0.685307582420525
"CYP46A1",1
"AC118549.1",0.460036123678921
"SLC18A1",0.96339905361346
"USP2",0.943215523484083
"TUBG2",0.840561969278138
"RPL26L1",1
"FLT4",1
"NSUN2",1
"FBXO42",0.586067858831012
"MFAP3",0.289804620552232
"MRI1",0.599529723944752
"METTL1",1
"HOXC8",0.774373014039575
"AGA",0.74014012983916
"PI4K2B",1
"BOD1L1",0.806278909642117
"MAT2B",0.680571273450244
"TLL1",1
"EDC4",0.556419235092376
"TRIO",0.395109520449398
"VCAN",1
"CLEC16A",0.972841481916795
"MSR1",1
"CDH1",0.698455586297915
"MTREX",0.224805291763491
"DNAH5",0.602156089273265
"ZFYVE16",0.341145754545706
"RIPOR1",0.577603154820411
"C6",1
"RAI14",1
"SOX30",0.516338310648516
"PNKP",1
"PHLPP2",0.441487723234015
"SPDL1",1
"STAU2",1
"PQLC2",1
"CTNS",0.305641342169508
"RTN4R",1
"PHF23",1
"CDH10",0.458450565821941
"INPP4A",0.347661865745344
"RAB27B",0.554466818269545
"PSMA4",1
"MYO16",1
"LSG1",1
"PARP3",0.720475649581084
"TNC",0.396587257098177
"THAP3",0.35771578218657
"RIPOR3",0.445256649750041
"TDP1",1
"AIFM2",1
"SPATA7",1
"MED17",0.322255715293758
"RETSAT",1
"CAPG",1
"AP2S1",1
"USH2A",0.485440422445938
"TG",1
"ADAM28",0.593196733093147
"BARX2",0.512906059590823
"DCUN1D1",0.793885774711914
"JADE2",0.411103818069709
"ZIC2",1
"LCP2",0.744918968582133
"TRIT1",0.649743758202722
"ADRB1",0.848849046354184
"CUL7",0.856202483824147
"CTNNA1",0.565604978637057
"PHKA2",1
"CNTLN",0.49941052310616
"EPHA3",0.322944264270176
"HSPA5",1
"DSG2",0.424857323558289
"GEMIN8",0.691921948438243
"OFD1",0.287272223808789
"GPM6B",1
"MAGEC2",0.880934012985875
"PREX2",1
"WDR37",0.502203508330355
"YTHDC2",0.541017194906143
"CTPS2",1
"ATP6V1H",1
"POLR2B",0.701139291193326
"FAM214A",0.422434529399949
"ARAP2",0.289826255621075
"TPR",0.726731318059301
"CP",0.497553146828288
"KIAA0556",1
"DTNBP1",0.992761227136045
"XK",0.604680286479223
"ANO2",0.276054249414063
"C12orf4",0.737946288498092
"SCML1",0.742782930194921
"WWC3",0.663089629218991
"ARHGAP6",1
"FAM184B",0.721350230176874
"MAP4",1
"GOPC",0.460734020397465
"ROS1",1
"USP28",0.353021157779543
"HDAC9",0.102825176640866
"TSPAN17",1
"NOP16",1
"CC2D2A",1
"RRM2B",0.788100717159644
"ZNF800",0.211598119009335
"TNFRSF17",0.3647554552907
"SNX29",0.992761227136045
"LMO3",1
"MRPS10",1
"GUCA1A",1
"RSF1",0.592425338212596
"VPS13D",1
"CELF2",1
"FAM120A",1
"R3HDM1",1
"COL9A2",0.742006959954528
"KITLG",0.712331866952153
"ERCC8",0.536951153100929
"ADAMTS6",1
"H6PD",1
"VAMP3",1
"PER3",1
"UTS2",1
"TNFRSF9",1
"EPN3",1
"LTBP1",0.444563605489576
"RCN1",0.408388692539892
"ELN",0.237340763203597
"RFC2",1
"ARID1B",0.609295234648428
"CLPTM1L",1
"NEDD4L",0.463670049261297
"FOXP3",1
"PPP1R3F",0.795806390286985
"HEXB",0.472184078923005
"PTCD2",0.582901035287045
"NEXMIF",0.654007509461946
"JKAMP",0.668860205730499
"DKK3",1
"ARHGEF5",0.472744642469222
"NFE2L3",1
"MCUR1",0.743693586488057
"LIMA1",1
"LETMD1",1
"SLC4A8",1
"LAMC3",1
"PTGER3",1
"TNIP3",1
"MAPK9",0.988493049212285
"COL23A1",0.901708716646302
"BCAR1",0.860634896257536
"FAM160A2",0.561784716366436
"HERPUD1",0.365835411235387
"HOMER3",1
"RAD51",1
"POLQ",1
"PIK3CB",0.47502504188794
"CYBA",0.988493049212285
"THOC3",1
"HEBP2",0.935212491113876
"MPHOSPH9",1
"PLEKHA5",0.695780391888565
"PRSS8",1
"SIKE1",0.44008576211617
"RRP12",1
"FNIP2",1
"MSMO1",0.826420148552534
"TTC17",0.310777942256544
"ALX4",1
"FSTL4",1
"FOXN3",1
"METTL24",1
"AKR7A2",0.772975607537755
"MRTO4",1
"NNAT",1
"USE1",0.479989145439628
"MCF2L2",0.567147497952039
"NRIP2",1
"LAMA3",1
"AP5M1",0.257309087981191
"ANAPC4",1
"KCNQ1",0.189095865156454
"TRAPPC3",0.764177730285085
"THRAP3",0.533300192010829
"PHPT1",1
"ENTPD2",0.591919216445626
"LY75",0.934553944991579
"ARID4B",0.856168774077389
"OPN3",0.992761227136045
"SDCCAG8",0.776028215150245
"PTPRN",0.900206899270362
"HHAT",1
"KIF1B",0.828135225561781
"FOXC1",0.197859102153795
"TBC1D22A",0.251934506439296
"SYNE2",1
"PLEKHH1",0.291852428356199
"ATP9A",0.635751447855611
"CBLN4",1
"CHRDL2",0.836202634152857
"FAM168A",0.297729104054758
"RELT",1
"GALC",0.200515229851108
"NOP58",1
"SZRD1",0.670536249695011
"KCNH2",1
"CUL1",0.533242393463815
"FAM114A2",0.416322177716327
"CYFIP2",1
"TAB2",0.591047052680409
"GINM1",1
"EIF2AK2",0.705888814088596
"USP36",0.719455383572796
"KMT2C",0.534757790923652
"MCOLN3",0.475971960099651
"CCDC85A",1
"PUM2",0.408775996102152
"MRPL43",0.770009911880021
"ITIH4",0.449910489299307
"ITIH1",0.513088706781417
"HPF1",0.274377813600733
"ZFR",0.319108149628443
"ZNF280C",0.569805953394038
"NPFFR2",0.7693801117411
"PHF21B",0.792926312141336
"TRAF1",0.695867465895548
"RC3H2",0.268769078864373
"IL17RB",0.624773728925228
"TRAF3IP2",0.379978238136091
"GYG2",1
"DCBLD2",0.992761227136045
"SERPINB3",0.634060360818729
"SOAT1",0.772972785619364
"PKP2",0.418141997091858
"MSH4",0.206353729358941
"F7",1
"GDI2",0.92200047728214
"PRDM1",0.630072425624876
"ATG5",0.546121388608947
"TMCC3",1
"PITHD1",0.430103341730486
"MTA3",1
"USP13",0.151882796488344
"ATP11B",0.689107731085868
"LAMC2",1
"CDK14",0.344501774769829
"SEC61A1",1
"PPP1R12A",0.966656691471569
"RASGRF1",0.902234181962585
"CAMK2B",0.513277055276367
"CROCC",0.521968799315315
"POLR3E",1
"ATP2B4",1
"ZC3H11A",0.62343162918545
"RIOK2",0.464177928890523
"YIPF1",1
"NDC1",1
"DGKG",0.70475424721429
"FLYWCH1",0.335754111279434
"UNKL",0.480197388881081
"TBXAS1",0.36687199095887
"PARP12",1
"ALDH18A1",1
"TARBP1",1
"GATB",0.361928514272791
"MXD1",0.585454942094577
"CDK17",0.46084229758688
"DNAJC25",0.174969608624483
"SLC2A3",0.983079465599005
"PSD",0.949712408010143
"CTDP1",1
"YBX3",0.964511583603746
"STYK1",0.596876967303516
"WNK1",0.32743537441746
"CCAR1",1
"OGFR",1
"GNA15",0.733379126548464
"CREB3L3",0.840307734002751
"PIGV",0.382676070708033
"PTPRU",0.64987011347516
"SNRNP40",1
"RIMBP2",0.613782395789012
"COL11A1",1
"QSER1",0.490242543168642
"MPC1",0.759121815924411
"ACAA1",0.379854069124639
"BCAT1",0.600617295512678
"HDAC7",0.446125273980957
"LZTS1",0.868022401621506
"PRDM6",0.263575788969225
"SPAG4",1
"NCKAP1",0.16834294071563
"MRPS35",1
"GUCY1B1",0.330796762535918
"SFSWAP",0.735046286949184
"TNK2",1
"MON2",0.711062210830647
"CDH3",0.311776871849413
"ARSF",0.533479471953627
"GPBP1",0.538650089824495
"DGAT2",1
"ZNF112",0.438758902317071
"CS",0.839083015052653
"LTK",0.373613705936208
"MRPS24",0.778404743978881
"ELMO2",1
"WAPL",0.564489067130122
"VMP1",1
"APPBP2",0.409840348290233
"POLD1",1
"SEZ6",1
"EIF4B",1
"SLC6A16",0.59060620308514
"BICRA",1
"SPHK2",1
"RPL18",0.49734085552247
"CA11",0.424809146885783
"ISOC2",1
"U2AF2",1
"EPN1",1
"MED29",1
"AHRR",0.923945849203848
"ZNF275",0.276154250986574
"MTMR1",0.836018572750474
"GPC1",0.978062000706055
"ADCK1",0.626565999311207
"HAGH",1
"RNF4",1
"CASP8",0.662980039335572
"LIMCH1",1
"INTS13",1
"TM7SF3",0.819631249366759
"DLX3",1
"SPA17",0.77462558067705
"TSPAN32",0.222197163092657
"CCN5",1
"DMRT3",1
"ST3GAL6",0.876410183493177
"ATP2C2",1
"NGFR",1
"CDON",0.736089767303673
"TAF2",1
"HIPK2",0.806126800802341
"TNPO3",0.934278875229469
"BORCS8-MEF2B",0.475483064084034
"RFXANK",1
"TMEM161A",1
"LPAR2",1
"CTSA",1
"SUGP2",0.969940252982293
"SLC12A2",0.31184647500024
"SNX24",1
"EYA2",0.552436113345977
"CNN2",0.162238718719015
"ABCA7",0.753477088230468
"SNCAIP",1
"DDX20",0.603375222506531
"BTBD1",0.42965361991779
"FAR2",0.722530838872075
"BCAS1",1
"CHI3L2",0.525459540929243
"SBNO2",1
"PMS1",0.320296435890633
"HMG20B",1
"CALCRL",1
"TAF11",1
"ANKS1A",0.701892517894319
"AP3D1",1
"ZNF76",0.786185082481129
"SLC9A3R2",0.720441007933003
"NTHL1",1
"UHRF1BP1",0.757882342013432
"GNAI3",1
"IPO5",0.641637198339684
"OAT",0.372557218633976
"WDR3",0.625385895321065
"PKN2",0.924510294067321
"WDR18",1
"TRAM2",0.508095739769916
"NTN1",0.399886918317641
"GLP2R",1
"MCM10",1
"DGKA",0.570577548724619
"ERBB3",1
"ROPN1",0.408257629944802
"ANKRD44",0.209240126124252
"KARS",0.240852248439651
"ADAT1",0.570847608937133
"PDIA5",1
"TBC1D22B",0.821033318851409
"NDUFB4",1
"SPEN",0.992761227136045
"MYLK",1
"ZC3H15",1
"MAP2K4",0.360095193359741
"TMEM206",1
"SNAP91",0.220360206659674
"SLK",0.88470764782753
"CYB5R4",0.440661512319693
"COL17A1",1
"GSTO2",0.434707881744014
"SEC61A2",1
"PRKCQ",0.259844306074905
"TLE2",0.84730495259181
"ASB1",1
"FAM107B",0.255756776316809
"ME1",1
"TBC1D1",0.414420262984141
"CDK13",0.695117887735424
"MTHFD2",1
"SLC9A7",0.246870380269952
"FOXJ2",0.681632119684564
"YBX1",0.270823434834077
"AC011529.1",0.484588840945903
"PPP2R5A",0.475175425215831
"CTNNA2",0.955423528975184
"ELAVL1",1
"TIE1",1
"DIP2B",0.683027639902633
"SMARCD1",0.627296961465132
"KDM4A",0.864259517914527
"NFYC",0.632562937489451
"ZMYND12",0.535936485572452
"SLC9A3",0.639396644443543
"NGEF",0.922708219916659
"ASPM",1
"CD84",0.718095483921359
"ELOVL1",0.874981594964232
"SPI1",0.857702726049413
"ZNRD1",1
"MPPED2",0.885013493993613
"CLDN18",0.501707766135997
"ZBTB11",0.474259252435394
"ATXN3",1
"GOLGA5",1
"FGFR2",0.350208689715214
"LRRC40",0.323310200587686
"ISOC1",0.720052221849545
"EML1",0.866081929112149
"TRMT11",0.529117806741225
"THUMPD1",0.339561571737588
"MSANTD3",1
"KIF26A",1
"ATG2B",0.881124561685703
"ARFGEF1",1
"ACSM2B",1
"ZFAT",0.737812294541237
"MTFR1",1
"STAG3",0.450516348949554
"FECH",0.643503565533329
"MYO9A",1
"PFKP",0.791908763509759
"IDI1",0.322121054899999
"SP100",0.256561811470921
"KLF6",1
"PLPP1",1
"NEO1",0.458124841118991
"TRAM1",0.750835844016355
"PHKA1",1
"TNFRSF1A",0.483589391533237
"CACNB1",0.719376516953582
"EVI5",0.8938727207372
"STOML1",0.490146832014558
"PKM",1
"DHX29",0.686198242103371
"DNTTIP2",0.434752811363586
"METTL22",0.427535578403971
"TP53BP1",0.459348971326124
"TRO",0.968733841743213
"RRP15",0.911464100275751
"RHOA",0.348970996523703
"DHX8",0.724388011938789
"PMS2P4",0.745588724309917
"PRKCZ",1
"IARS2",1
"SYT1",1
"NAV3",0.363791900986354
"IDH3G",0.856092727657425
"ROGDI",1
"PDZD4",0.717146135734892
"ATP2B3",0.858371254918654
"ROCK1",0.718436462012659
"CBFB",0.992761227136045
"PDK3",1
"HYAL2",0.42222918823799
"HDAC4",1
"RASSF1",0.242509001556298
"FGFR3",1
"IFI35",1
"HEATR6",0.988493049212285
"COASY",1
"PLEKHH3",0.853917362058733
"MEF2A",0.887431330333455
"OTUD5",0.843581553818077
"TFE3",1
"TBC1D25",0.633892337626388
"ACSL4",1
"INPP5A",0.836396908494747
"GPKOW",1
"GRIPAP1",1
"FTSJ1",1
"PRR11",1
"REEP1",0.988493049212285
"ATP11A",0.41437504961355
"POLR1A",1
"LAPTM4A",0.334711257502257
"TTC7A",0.213453371358955
"IP6K2",0.236041092715316
"STON1-GTF2A1L",1
"SRBD1",0.413319070906899
"KIF2A",0.473680184330335
"RASGRP2",0.590782667331779
"PSME4",0.972841481916795
"IFT80",0.680573439075576
"SIRT2",0.649076448393334
"ERLEC1",0.92580610819508
"PPP2R5B",0.351501809826414
"PYGM",1
"PITX1",1
"MAST4",0.549157552898968
"ADGRF5",1
"SDK2",0.520773322829974
"NUP133",0.964128220835188
"NUCKS1",0.856532688193529
"VPS35",0.519916444886862
"DNAJA2",0.229709454672281
"BCL3",1
"KCNAB2",0.740161875109366
"ABCC9",1
"GAL",1
"CLEC2D",0.761671669280595
"FUNDC1",1
"MAOB",0.626384976898368
"RORA",0.976799051141994
"DRD4",1
"TGFBR3",1
"PLA2G10",1
"HES2",1
"ATP1B3",0.755130906119156
"NEDD4",0.565053187565746
"PIGB",0.288803793145307
"MAPK6",0.663492073056674
"GNB5",0.770954372484472
"RAB27A",0.245011745167024
"HDHD5",0.922202567201364
"UFD1",1
"LRP6",0.775206458778298
"GUCY2C",0.579248462545156
"SCT",1
"PHRF1",0.852053707039468
