gene,logFC,logCPM,PValue,FDR
THUMPD3-AS1,0.2178634953,3.6377991192,0.0011266071,0.0016432688
XKR4,-0.9152917509,-1.7592043675,1.54868418212242E-05,2.61609090279374E-05
SNORA2A,0.786073272,-2.6629618783,6.82624911627088E-06,1.18466537853401E-05
SNORD60,1.7788194301,-2.1796614862,7.23829829752445E-32,5.03435422968483E-31
SNORD101,0.4738806688,-2.6836822485,8.81806716333793E-05,0.0001410163
RF00003,-0.0431062403,-2.9665576999,0.8061933529,0.8265049927
SNORA5A,1.8654394633,-2.0533210124,2.4998507788618E-11,6.22691771361557E-11
RF00432,1.5036859211,-3.2838490042,5.71747791828066E-06,9.98177732134843E-06
SNORA75,0.1327774694,-2.7424882169,0.4327805887,0.469029937
RF00409,0.2329964498,-2.8100908773,0.0690413816,0.0838754686
RNU6-481P,0.2145968969,-2.9007261274,0.0526837923,0.0649302744
SNORD63,0.414052403,-3.3431920179,0.0016810566,0.0024124531
RNU6-610P,-0.5703691311,-3.4356327356,4.46590494433002E-06,7.85635769676513E-06
RNU6-611P,0.5448022183,-3.1477513202,0.0005871676,0.000878099
RNU1-106P,1.8738891281,-0.9333029825,3.0905216954605E-33,2.27605268434538E-32
RNA5SP187,-0.2413976907,-2.9872941647,0.1538054809,0.1787636403
RF00019,0.439355036,-1.9873251299,0.015695245,0.0204867587
SNORA14B,2.3918199942,-1.7764960198,3.71637289229128E-17,1.27831549080257E-16
RNA5SP122,0.8684417301,-3.116142804,3.17068974226853E-10,7.37040107412411E-10
SNORD116-24,-0.7345038951,-3.3911243807,8.63310989310178E-06,1.48720904402932E-05
RNU6-30P,-0.745969465,-2.9312294142,1.04383212401325E-13,2.99217178864452E-13
SNORD7,0.9677560307,-3.1204348456,3.19916714596237E-12,8.422518799757E-12
RNVU1-1,-0.3669666807,-3.017817589,0.076945405,0.0928810154
RF00019,-0.3499652006,-2.9869924098,0.0151124465,0.0197583428
RNU6-925P,0.2788396193,-2.4460708174,0.0088043023,0.0118031305
RF00019,0.5676738691,-0.6647448361,7.27202590400691E-15,2.21979551546353E-14
