gene,logFC,logCPM,PValue,FDR
FAM210B,-0.2420657598,7.2796743969,0.0001298608,0.0002051206
PI3,0.9629645118,3.505525376,0.0097198546,0.0129709552
FAM209A,-0.0286798281,-2.7841935356,0.8228788868,0.8421440249
SNX21,-0.7899592984,4.1724500401,6.82339239030401E-36,5.58419685942697E-35
SLPI,0.1397407292,6.4906686227,0.5845062821,0.6179703822
WFDC3,1.1379433866,-0.141122902,3.84455740344634E-16,1.2552845233817E-15
TTPAL,0.3041892383,4.8639747759,9.8292823034012E-09,2.07694946219451E-08
PREX1,1.1556765549,7.8054695599,1.79263714755796E-16,5.96871433921359E-16
KCNS1,-1.0484917806,0.4813133967,4.27506809839332E-07,8.09902984150918E-07
SLC12A5,1.9173763179,0.2801998105,5.1925483446914E-25,2.64261187410935E-24
ARHGAP40,-0.5629797231,3.7752148686,0.0199196103,0.0257334859
SDC4,0.2770265686,8.4111878599,0.0014103668,0.0020391913
NCOA3,0.3588863196,6.4123466399,1.04855494724257E-06,1.93107683838852E-06
PIGT,0.8823025829,7.9290455949,8.99402213803479E-28,5.19361252837891E-27
MATN4,-0.0146472982,-0.2414836977,0.9156769674,0.9259785039
NCOA5,0.4425183656,6.0274018927,2.129795890102E-30,1.38979421232474E-29
VAPB,0.1305053225,6.591756508,0.0435597868,0.0541856876
PARD6B,2.2534468926,5.7179936929,1.06943590995614E-34,8.3759109093103E-34
ATP5F1E,0.6269039898,7.9059634678,3.21533525629961E-16,1.05542310601583E-15
CHD6,0.0326353053,6.5934613353,0.6476826989,0.6791561551
PLCG1,0.0299064627,6.3669761405,0.5788531964,0.6123991142
TOX2,-0.263944173,1.6528351867,0.0250448723,0.0319787443
SRSF6,0.1185942558,7.6594702081,0.0057013182,0.0077831523
GDAP1L1,1.5550206451,-1.537953017,2.63159392926374E-10,6.14249774753167E-10
GTSF1L,1.9102585499,-3.6979794334,7.9373841019048E-14,2.28807718838598E-13
ARFGEF2,0.3743881826,7.0659230247,4.93716407925272E-06,0.000008659
ZNFX1,0.344228245,6.8193395112,8.79368955234572E-07,1.62911005656164E-06
ZNF831,0.2422356159,1.1079837777,0.1582686857,0.1836130494
EDN3,-2.3417196327,1.7198919711,1.08429633634542E-21,4.69596495635494E-21
CSE1L,0.9452506467,7.3585116994,1.41945230058473E-35,1.14645796345353E-34
RAB22A,0.4622674106,6.2196802731,9.1925562294901E-15,2.79284981987396E-14
PTGIS,-1.9806426116,5.0000383768,1.18875283583834E-80,3.34056775172543E-79
STAU1,0.6004812133,7.5565899021,3.14914681292406E-28,1.85800346410859E-27
CDH26,-0.1421831649,0.1634810597,0.2431374053,0.2747110632
SNAI1,0.0931287926,2.7037854639,0.3811323847,0.416967707
MOCS3,0.8146368141,4.0535071397,3.92495729369329E-35,3.12362622968625E-34
STX16,0.0790262396,6.1033220581,0.1817992337,0.2092483357
PPP4R1L,-1.2013349754,2.2865877886,3.28897206892222E-48,4.10116838690687E-47
PMEPA1,0.1583809881,7.3240609342,0.1025190311,0.1218735108
RNF114,0.5590528363,6.6678227905,4.6152021205137E-19,1.75566531338936E-18
DDX27,0.6230809772,6.1892846329,9.30815031436657E-27,5.13575301694705E-26
C20orf85,5.5757234447,0.2926528067,9.37984703617864E-14,2.6947330685163E-13
BCAS4,2.103954897,4.997757664,9.51456933658705E-57,1.54660179168259E-55
KCNK15,2.5726190013,4.0612661877,4.05338671949424E-34,3.1082834996438E-33
TP53TG5,0.3193199352,-0.0578046223,0.0008476969,0.0012483227
PCK1,-5.2128465779,3.3372903296,8.82320837992963E-197,1.51591654861753E-194
ZBP1,1.8676019425,2.1389521214,6.03225676615319E-23,2.77451105005074E-22
NEURL2,-0.362516007,-0.9569128514,1.64765368166633E-06,0.000002992
MTRR,0.3089693041,5.3174175271,9.01136935465169E-06,1.54951943055283E-05
FASTKD3,0.6384633354,3.5877965228,8.32938648531399E-33,6.02316264065886E-32
PEPD,-0.316918376,5.8309797547,5.52793845112881E-08,0.000000111
CHST8,1.9665613205,3.5126548563,2.19824810032573E-13,6.1863614898862E-13
IQSEC2,0.6394431964,4.9051027595,8.08611461374555E-15,2.46331127039318E-14
VAMP7,0.1484127148,5.7908408173,0.0067867977,0.0092034375
VAMP7,0.1484127148,5.7908408173,0.0067867977,0.0092034375
IL9R,2.1542063775,-1.1103527763,7.88445313839992E-38,6.89090035077283E-37
IL9R,2.1542063775,-1.1103527763,7.88445313839992E-38,6.89090035077283E-37
XG,-1.7632764982,2.5605777697,3.60244225434926E-62,6.67977441506593E-61
STAMBP,0.2812506233,5.6841768148,1.53883463479182E-12,4.12737921115095E-12
NAGK,0.7018720321,6.1475878342,2.68912363073328E-35,2.15336135928866E-34
MCEE,0.0191941577,3.52899676,0.7264833946,0.752829372
PAIP2B,-0.6017579173,3.5293588023,2.14770528063027E-11,5.37490619968557E-11
SNRNP27,0.0405973455,4.8048105205,0.3244706095,0.3595134353
MPHOSPH10,0.4400203701,5.6801255399,4.81816185913325E-20,1.91864195141604E-19
IL17C,2.6740867857,-3.0930151708,2.6633999479336E-19,1.02481438676974E-18
ATP8A1,-0.578491464,4.1272744214,0.000000058,1.16251808566476E-07
USP22,0.0024816171,7.8819603654,0.9814612935,0.9839623398
POF1B,0.282546033,3.2870035408,0.1900535853,0.2181754399
HIF3A,-3.7195861647,1.3029908998,3.62840375595194E-150,3.6212003073188E-148
ZNF576,0.2688535998,3.8345591345,2.82570676613698E-08,5.7813261888419E-08
ZNF45,-0.1136531978,4.0334760624,0.0403123251,0.050343579
LYPD3,1.1653922986,5.6846218737,2.34231502272856E-16,7.74476048806205E-16
NDP,2.0148468152,3.1429990974,1.53129541046388E-11,3.86432511038882E-11
USP9X,0.0985734308,7.6916056617,0.1086724435,0.1287600782
CRISP2,1.1637961055,-0.9761535853,0.005161143,0.0070713364
F13A1,-1.2906480423,5.968806281,9.87117260013189E-26,5.18303387627041E-25
GRM4,5.4497164573,3.0913476599,6.66898898954578E-66,1.36734422288678E-64
TRERF1,1.0990150514,4.9477873468,8.27579206042273E-25,4.1749609974398E-24
PACSIN1,2.7741203633,2.1878787594,6.71523015021762E-77,1.74608848331233E-75
BTN2A2,0.3128807014,3.9826429117,5.44734939409E-06,9.52242556841826E-06
SIRT5,0.1074534679,4.273814793,0.044791224,0.055632438
MRS2,0.3705183207,5.3475104214,1.96685015660976E-13,5.54665638389036E-13
WRNIP1,0.6945510429,5.978189086,4.2341891518558E-36,3.48412545366104E-35
RRP36,0.7854505021,5.5177025676,2.96768620085091E-42,3.0666467304263E-41
BTN2A3P,-0.4407728844,1.5263837568,5.10543363837412E-12,1.32738340721486E-11
BTN1A1,-0.3035861029,1.2023337005,0.3145891747,0.3491633713
SNRPC,0.9309362454,6.1765872462,1.83887136669134E-43,1.97851772176786E-42
SERPINB6,0.052231983,6.7792766547,0.4550224357,0.4911152256
XPO5,0.8697833773,6.2735905333,2.05916990097527E-32,1.46753022136715E-31
ABCC10,0.4311306488,4.5612348648,1.16224026556248E-15,3.70873095673671E-15
HIST1H1D,3.5796870266,0.4258245052,6.24108659025063E-30,3.97048363203524E-29
PEX6,0.3469934618,5.5334319499,3.63165870533616E-05,5.97448683201354E-05
NQO2,-0.0693878739,5.3056659572,0.2975131198,0.3314302015
AL365205.1,0.3319073569,3.0641685591,0.0001196027,0.0001894355
OARD1,0.1355035046,4.839083378,0.0096735199,0.0129103919
UNC5CL,1.0181021408,1.5007569557,9.02334031314218E-14,2.59478385742116E-13
AARS2,0.4075847364,4.4562592393,1.95965486212197E-13,5.52693931295201E-13
ZNF391,-0.8828549683,2.463744417,6.34455625135957E-19,2.39506777916016E-18
RPS10,0.0924974238,7.3172395668,0.2185105017,0.2485933565
MOCS1,-2.1029534927,4.2829375173,6.00777406694897E-217,1.28414988048344E-214
HIST1H2BJ,2.669781958,1.8051690499,3.32578820331569E-44,3.67297992543562E-43
MED20,0.5598701516,4.8147567654,3.58813865605223E-20,1.43854101251209E-19
OR2B6,4.5388711106,-0.7554401656,1.42242535807097E-67,3.03324106600114E-66
TBCC,0.6245547611,4.6807293383,2.31175521515479E-23,1.08760670832915E-22
SPDEF,1.6038434851,7.5151372401,7.44198968734825E-20,2.93293048857078E-19
TCP11,0.8241129626,-1.6179041328,0.0016523149,0.0023729626
MAD2L1BP,0.7202718989,4.6055583163,1.8884945765953E-41,1.89800347190877E-40
APOBEC2,-0.1654460301,-2.2864940005,0.324046237,0.3591455033
KLHDC3,0.2808876245,6.7749453635,4.664417834034E-05,7.61167938218737E-05
GNMT,0.9007631621,1.6317900198,4.77171904387753E-06,8.37426203549906E-06
DNAH8,1.8853127986,-1.5426140788,1.30387958242424E-18,4.85396532425787E-18
TREM1,1.2718271364,1.7571359963,1.50172593275114E-14,4.50849946587729E-14
MEA1,0.7827707247,6.0447171894,2.82592762474603E-33,2.08628314662376E-32
KLHL31,-3.4925078881,2.0466522899,3.69344361045707e-313,2.63847948024915e-310
COL21A1,-0.4666643044,1.8117455194,0.0004675195,0.0007047973
CDKN1A,-0.3468054268,6.6777840763,0.0002151723,0.0003343293
SOX4,0.9594389598,7.7924813815,5.32145411575484E-30,3.39577323522052E-29
GLO1,0.8335522703,7.4741880952,4.21744681178587E-35,3.35050661845886E-34
CPNE5,0.6314614739,2.5585934553,4.02876650523237E-07,7.64342345624535E-07
KCNK17,0.1246887204,0.4550684402,0.5441181874,0.5792859171
RREB1,0.034998314,6.2153485396,0.4848759657,0.5210372482
SSR1,0.419835228,7.8359832034,1.06410735761931E-13,3.04707366349511E-13
RIOK1,0.3234776671,4.7871568943,2.62922222005517E-06,0.000004707
NRN1,-2.1945270956,4.124968724,1.62472130700505E-120,9.80104102221311E-119
SLC35B3,0.288725991,4.8898618004,1.90951513780798E-09,4.22699974972971E-09
RPP40,0.7257958173,3.0272929033,2.62457162012104E-18,9.61233421476064E-18
ATXN1,0.1969157452,5.8605846222,0.0064424268,0.008756565
NUP153,0.127304492,6.3365522323,0.0645379614,0.0786755658
DEK,0.3547110058,7.1538317904,2.68748670116948E-05,4.46505379704675E-05
EEF1E1,0.7078134441,3.3976463359,1.5243529770487E-26,8.30091994282129E-26
CRISP1,3.3970232329,-2.8244950311,7.24533936798123E-11,1.75233412761243E-10
RUNX2,1.4110779226,4.4075660381,3.03807974838867E-33,2.23925367498667E-32
LRRFIP1,0.3136758622,7.4251233115,2.87023709186192E-08,5.86889545764415E-08
RAB17,1.0869081018,4.8414167459,1.65429564059697E-20,6.7317507809392E-20
CXCL6,-0.5251846498,-0.8073419006,0.0318124399,0.0401833555
EREG,-0.3464371819,1.3466607998,0.1752381096,0.2021852143
MYRF,0.4586820104,1.8137825947,0.0009526974,0.0013975642
SCGB1D2,1.4519541885,8.1372299199,7.41943919614592E-05,0.0001192681
SCGB2A1,1.1433161343,4.815436487,0.0004382899,0.0006622776
AHNAK,-1.4359643152,10.7148387547,3.59959701682979E-86,1.15229552616582E-84
EMC3,0.0367476742,6.2966812352,0.5348908275,0.570177743
SSUH2,0.136773624,0.0711948705,0.2387599669,0.2700461673
WNT1,-0.492910899,-3.4694593021,0.0020682347,0.0029425733
SH3TC1,0.5581903509,3.9307297806,9.01062787720726E-12,2.30735312097602E-11
CNOT1,-0.0432994775,7.4625252828,0.5295561503,0.5650680526
LRRC29,-0.120564806,1.5893987169,0.1136788051,0.1343809808
BBS2,-0.5791585139,5.2340158207,7.51899332023998E-31,5.01253911275134E-30
MT1G,1.2782854252,3.2533799745,6.39183982082929E-09,1.36624317934041E-08
MT2A,-0.0285837874,7.1075501261,0.789648414,0.8114087307
C16orf70,0.4035131452,4.7195693196,2.24472530900259E-12,5.95711342635491E-12
GOT2,0.8980501375,6.9631482891,1.01850229146363E-31,7.03697205499404E-31
DOK4,-0.0885003224,4.0932241453,0.2060684548,0.2354646745
GPR18,1.39234132,0.1802910554,1.58163343665882E-15,5.00699956519421E-15
CLYBL,-0.6493329777,2.7359557631,3.83315064349012E-19,1.46432180366145E-18
TMTC4,0.783104278,4.8894870003,8.77488522390148E-23,4.01556025434979E-22
RAP2A,0.0750543674,5.575759962,0.3331509288,0.3685145313
ABCC4,0.667913909,3.7633176862,9.03269475185579E-06,1.55308798919355E-05
EFNB2,-0.5286419017,5.4585564123,1.8207329709389E-09,0.000000004
SOX21,0.5505050441,-2.6065080322,0.0480077201,0.0594154085
TM9SF2,0.3877542845,8.2508815622,4.48936584147635E-10,0.000000001
C17orf53,0.7935665573,2.4396092757,2.10689992955711E-18,7.75826173192583E-18
KIF25,-1.9216294287,-0.6695465952,2.31361946681785E-47,2.80632323709729E-46
IRF1,0.7741801281,6.0546644658,1.69275927802545E-16,5.64239235772089E-16
UPF3B,0.4534307262,3.9594130159,1.2176258153637E-12,3.28597975781518E-12
RNF113A,0.5702260398,3.7454599907,2.07499498194101E-23,9.78593012157239E-23
SEPT6,0.4400757778,5.6363793764,3.30673302496086E-09,7.20479771214283E-09
TMEM255A,-2.1852189438,1.8344770005,6.41110117098169E-122,3.95535800880611E-120
NDUFA1,0.5533176973,6.2872110496,5.71611952573756E-15,1.75591015781002E-14
DMAC2L,-0.3238013865,4.5661946777,3.80223057312562E-12,9.95710506830679E-12
BMP4,-0.2008171978,3.8682496184,0.1568485242,0.1821055574
PTGER2,-0.0636489421,2.2523108764,0.6556446254,0.6867356947
FAM193A,0.0944478021,5.255009033,0.0152990054,0.0199897382
GRK4,0.0217919188,2.159942863,0.664033568,0.694504151
SOX9,-0.1119051803,6.7832151049,0.3241705166,0.3592395838
TEKT3,0.5063812657,0.2902233747,0.0011916354,0.0017341126
MYH2,1.7585619162,0.5250340452,0.000001442,2.62915603415901E-06
HS3ST3B1,0.5157275793,2.3887857561,3.87088555189839E-06,6.83752337271171E-06
SLC25A35,0.7548508874,3.9775509123,5.23380352762794E-15,1.6115792940221E-14
MRPS7,0.6979137089,6.0220111832,1.03818260702021E-23,4.96258232966557E-23
GGA3,0.1805935989,5.4086930351,0.0003428915,0.0005236348
ARMC7,0.7846388678,4.2433759464,1.01236952908888E-33,7.61690222745201E-33
NUP85,0.7152438416,5.5326434983,2.90237065367616E-31,1.970186390715E-30
SLC25A19,1.0952135345,3.1330650576,1.79206124446874E-41,1.80375582285311E-40
MIF4GD,0.5572599474,4.8129069113,4.75804050880827E-16,1.548145363204E-15
NT5C,0.5485725054,4.1167371731,5.36199255078884E-10,1.22925977353022E-09
MSTO1,0.388678798,4.0155232758,1.12449014303077E-10,2.68213772275839E-10
C1orf61,-0.4070782633,-0.4130296513,0.0227860655,0.029226542
TTF1,-0.0472405493,4.2278331012,0.2249818617,0.2555272841
GTF3C4,0.3663733179,6.1453566454,5.77393609405082E-09,1.23693756065822E-08
DDX31,0.41099472,4.4484057475,1.30180031677539E-21,5.61733768863213E-21
PPP1R12C,-0.1297428286,5.6467254699,0.0535758437,0.0659697838
MBOAT7,1.5051881577,6.9699154847,3.7385917142476E-70,8.47851384084923E-69
SRMS,2.4311850306,2.4538663874,5.28071307804977E-47,6.33172425868989E-46
OPRL1,0.6742016928,2.4106651688,9.73747901112113E-12,2.48761156819023E-11
SLC2A4RG,0.8390889273,6.3902783558,3.60342063972832E-20,1.4442412031015E-19
FNDC11,1.1929093174,0.0121659212,6.31931523607488E-16,2.04413883935282E-15
PPDPF,1.2716486885,8.1870299869,2.65920608287791E-37,2.29019061947347E-36
IL1B,-0.5233541722,2.3281111597,1.92336106129624E-05,3.22812871494368E-05
CHCHD5,0.8949332049,4.3313053371,4.86250213733141E-24,2.36047001108724E-23
PAX8,0.1629673659,2.0016638509,0.2588896152,0.2911636697
INSIG2,0.0983963793,5.0427477683,0.1116246524,0.1320506243
POLR1B,0.4315020738,5.1770239615,1.6390216319616E-13,4.64629085434727E-13
CCDC93,-0.4107123099,5.2762328678,7.96674945448009E-17,2.69590352395059E-16
PSD4,0.6793376892,6.4424257532,2.10465036422714E-22,9.45438338363562E-22
SLC25A23,-0.0576553669,5.7808799233,0.354937395,0.3905922865
PSPN,0.2576266468,1.9346851318,4.08165155248687E-05,0.000066949
GTF2F1,0.3371850245,6.5010049524,2.49998984444133E-10,5.84385811738607E-10
ALKBH7,0.6677911154,5.0225470754,8.34542587349351E-12,2.1404471916275E-11
CLPP,0.8645230703,5.3918820174,5.97252170124183E-32,4.17001219397919E-31
TNFSF9,0.1648416052,0.3491535515,0.2373203863,0.2684934863
GRIA3,-0.1631278719,1.5098395016,0.3789405727,0.4148038544
THOC2,0.2906624232,6.3183551768,5.0677862663639E-09,1.09052814892362E-08
MED1,0.714238593,6.6009610523,0.000000023,4.74756571965002E-08
RPL23,-0.0219387038,9.5364924927,0.7840557944,0.8062113104
ATG4C,-0.2021480088,3.6869266465,9.19623913589566E-06,1.58020703622625E-05
CD70,0.0161186597,-0.2279202632,0.9486632825,0.95559811
C3,-1.0654150257,9.1582898316,2.39480085356864E-23,1.12609152903126E-22
SH2D3A,0.4505710674,4.0211420198,4.48385902852918E-08,9.05578730663293E-08
TRIP10,-0.4527089154,5.3529593433,5.13819220718931E-13,1.41662975478733E-12
GPR108,0.0580572632,5.9708492756,0.2266077213,0.2572339719
TNFSF14,-0.0906825866,0.9310701547,0.4732846203,0.5093880066
FOSB,-3.3889794606,6.8262154563,9.50828376855042E-124,6.01659373382447E-122
OPA3,0.1268795578,4.8996191037,0.0025045415,0.0035342457
SNRPD2,0.637976207,7.1114975358,4.61847508092423E-20,1.84128542439079E-19
RTN2,0.4753967971,4.1878723339,0.000012018,2.04924651248286E-05
EML2,0.7809714611,5.6489772162,6.9640180093346E-20,2.74934893661136E-19
VASP,0.6397392479,6.7407835165,1.57043294740869E-27,8.96173487289392E-27
SYMPK,0.5763837992,6.6687768624,1.82177909501363E-28,1.08380485016963E-27
GPCPD1,-0.5012585632,5.5005421247,1.16401329553591E-11,2.96002856399229E-11
SDCBP2,0.6848186483,2.3125609597,4.02160775633634E-07,7.63056994153255E-07
PANK2,0.1757054503,5.0150737686,4.24065230892015E-05,6.94352781096244E-05
TGM3,2.3787767062,0.3883230667,1.28646311372984E-17,4.54303729482378E-17
GNRH2,0.4367145479,-2.7418489058,0.0010363679,0.0015161265
FAM182A,-0.3140963236,-2.8957805538,0.0422605239,0.0526506118
CD93,-0.9474830862,6.7042109207,8.04798628442765E-36,6.56659560195591E-35
GZF1,0.3913044569,4.7184982096,2.3132706270452E-12,6.13542202655292E-12
PAX1,3.019229554,0.019837982,4.0098958784064E-21,1.68294114896753E-20
NAPB,0.3278697712,4.0626257353,0.0002179467,0.000338485
CENPB,0.5421693237,6.8364520688,8.70082165885641E-18,3.10248922568391E-17
PSMF1,0.320747754,7.0885750933,1.83120118289782E-11,4.5989256463081E-11
NKX2-2,5.6073497845,0.0437765045,2.63238072629165E-19,1.01345351291892E-18
DTD1,0.2403375698,4.7484213623,0.0017081299,0.0024496219
CSTL1,3.1645186329,-3.0896792705,1.80790878430453E-16,6.01734819258591E-16
RBCK1,0.5650186529,6.4389820112,2.46247856663477E-19,9.50063149088508E-19
TMX4,-0.4526714874,6.4366221219,4.63173588645223E-09,0.00000001
STK35,0.515642413,5.9365581577,2.24498595565274E-19,8.67754360702682E-19
SNRPB,1.3384209817,7.3994553896,9.87930325720471E-65,1.97921451084929E-63
NRSN2,1.0881292693,5.7951293286,4.3036999519806E-47,5.19005948007399E-46
AP5S1,0.4163468423,3.999986647,1.27710830563012E-17,4.51117528492325E-17
RRBP1,0.7427709853,8.3764239913,1.04394525346021E-21,4.52554101731569E-21
BMP2,-2.1336280668,1.6996703282,7.79498263406838E-67,1.63652435100093E-65
ZNF133,-0.1711640211,4.1808691409,0.0021579326,0.0030645691
FLRT3,0.3731410596,3.3632000876,0.0618216093,0.0755677866
OVOL2,1.0568051022,3.8184896047,4.51848612764211E-32,3.17029786562349E-31
PCSK2,2.9534339089,1.4170275138,1.19476954460523E-08,2.50992215275141E-08
MKKS,0.1144705711,5.4093801514,0.0164304198,0.0213969862
BFSP1,0.5398116351,1.9185809179,6.41674320451311E-07,1.20121999192961E-06
DSTN,0.0977265625,9.0292457213,0.1086283486,0.1287134505
LAMP5,3.0192893939,3.863857402,6.27133862257852E-65,1.26011664136578E-63
SNRPB2,0.6550831347,5.9770764575,9.87564533696009E-24,4.72395186461883E-23
MGME1,0.3876852107,4.9877558627,7.83269411857895E-12,2.01293490999663E-11
LRRN4,1.59656834,-0.4497975596,0.000000027,5.54070549210831E-08
TBC1D20,-0.0397642147,6.0445269816,0.3601578197,0.3958236507
ITPA,0.9282545022,5.4350066989,3.39499842573376E-38,3.00687201517027E-37
TCF15,-1.5771056509,-0.3938172825,8.00343888571426E-31,5.32503313704901E-30
OTOR,3.159828834,-1.3367867359,1.80228120193836E-21,7.72048690355354E-21
MCM8,0.6881575107,4.3010829871,1.63923625278366E-18,6.07407962299552E-18
TMEM74B,0.9516276218,1.1306513125,1.26625624967777E-08,2.65414193141476E-08
FAM110A,1.563552229,5.115533314,1.88428877708771E-56,3.03386139637147E-55
MRPS26,1.0004887811,5.5070004874,2.77297210923271E-34,2.14275835118791E-33
S1PR4,0.662826794,1.164594682,2.58047741830964E-05,4.29278342918455E-05
NCLN,0.8520463178,6.1418856499,2.83452904089153E-37,2.4365460843585E-36
CITED1,-1.6872851667,2.5753723981,2.05039241561787E-19,7.9412116584909E-19
HNRNPR,0.3389348762,7.3582228151,9.39822050279782E-19,3.522353910934E-18
ZNF436,-0.4445088754,5.521987674,3.13245044554831E-15,9.7627439488926E-15
MAX,0.2566037764,6.1620438578,1.52412348025169E-09,3.3985424671359E-09
ARMCX5,-0.0220640923,3.8793196423,0.6559103434,0.6869610009
GDF5,-0.4101893751,0.1726464547,0.0449906638,0.0558673693
MMP24,-0.5903749223,1.5811990167,3.2478320942213E-06,0.000005773
NECAB3,1.5370014596,5.4789415431,7.59876092713826E-45,8.52380017058244E-44
ID1,-1.1200744311,3.8914120156,1.00030021344958E-27,5.76154245582478E-27
RALY,0.8194019663,7.3264761925,5.47590925514983E-40,5.1884479106561E-39
DYNLRB1,0.7412426141,6.8561929565,1.50918698132546E-22,6.8296656982751E-22
EIF2S2,0.6154951998,6.5489374462,4.15400696853813E-25,2.1236284965713E-24
ERGIC3,0.584832511,7.9891410081,5.54646038557567E-20,2.20058774666526E-19
ROMO1,1.2656232838,5.4914729024,1.00870994197298E-29,6.36061326011582E-29
BPIFB9P,0.5138364012,-2.9935171648,0.0006471405,0.000964493
BPIFB1,4.0513287849,5.4587518736,3.02089773026138E-27,1.70064889642628E-26
CEP250,0.8842290417,5.7640604927,4.19164343346658E-33,3.06774800467387E-32
PLAGL2,0.4663846005,4.9745797081,1.54455843638373E-15,4.89134196384424E-15
MMP24OS,0.1796261364,5.5385944739,0.0350403006,0.04405966
GRPR,1.3996006018,3.5512202494,3.14369584698105E-07,6.00681125235079E-07
KDM5C,0.4824272964,7.2140500363,1.4355891149073E-27,8.19913783153239E-27
AMOT,-0.4024135167,5.4201169919,4.12708601840443E-05,6.76533074007287E-05
TMEM115,0.3147062557,5.7461530039,2.96537433567929E-08,6.05703925630925E-08
PSMB2,0.6213509105,6.8106008109,1.31529023253368E-23,6.25742528082006E-23
AGO3,-0.3726197272,4.8724245713,1.9084074961767E-12,5.08696287227148E-12
UROD,-0.1879572906,5.7680923352,0.0003735652,0.0005684625
ST3GAL3,-0.8164846931,3.4715431279,1.57348255000155E-46,1.8530914230951E-45
TMEM53,0.0369553172,3.2451883761,0.5567550114,0.5914034558
HECTD3,-0.1662985039,5.9476865403,0.0002394202,0.0003706051
KLC1,-0.0477509144,4.9308248652,0.3520070425,0.3876504331
XRCC3,0.5150993805,3.5497168244,4.53182079956055E-13,1.25441834837229E-12
TUBGCP3,0.0239046112,4.9489626682,0.6949869179,0.7233107723
MCF2L,0.2307176129,5.9383087796,0.0050050005,0.0068664145
F10,-2.5438667607,1.5110753084,6.70337451272368E-182,1.00535803603534E-179
PCID2,0.0579589203,5.3104834543,0.2547239614,0.2867876346
PROZ,2.1094480802,-1.2110978417,1.20353433241346E-23,5.73177947152555E-23
SLURP1,2.9465868296,-0.6583748131,4.44685899775668E-14,1.29926202080619E-13
LRFN3,0.5931014609,4.1318533294,9.0304152554548E-22,3.93167044947195E-21
IGFLR1,1.0543132006,0.8584515496,3.31898717311727E-29,2.03932154371755E-28
CAPNS1,0.2871037186,8.5223812522,5.91727728207734E-07,1.11062994606424E-06
PDCD2L,0.8973140475,2.7621142377,2.39414296336429E-29,1.48213009996549E-28
RBM42,0.7454295657,6.0680526691,2.69252200680665E-23,1.2625877076658E-22
KIRREL2,2.2243406901,-0.5625326412,9.02479651205083E-14,2.59492772075132E-13
UBA2,-0.1741815431,6.8929165185,0.0018159751,0.002597969
FFAR2,1.0630682572,1.8271886074,1.4107074600571E-07,2.75881166419639E-07
HCST,0.3398435723,1.8543826624,0.0086949476,0.0116605596
COX6B1,0.7327300998,7.2718420891,2.29693980539208E-21,9.77468693481319E-21
KRT36,1.3029536976,-3.0907761246,7.41168280792816E-13,2.02249237539222E-12
THRA,-0.7859897085,5.8620574205,3.1603096290372E-23,1.47607992411982E-22
CCR7,1.6904392057,2.9555056827,3.28625878324752E-18,1.19711192874446E-17
NR1D1,-0.5458982136,4.6785997273,2.48326651853553E-09,5.4543857037111E-09
FRMD8,0.5409286536,5.7425273573,2.61202606451536E-19,1.00604511276013E-18
PRDX5,0.5721901471,7.2066515772,5.95932626306379E-12,1.54259436194459E-11
BCL2L12,1.348259771,3.9899313052,5.93736693198262E-47,7.10651511179895E-46
IRF3,0.6418002097,5.5184222919,4.28557071463064E-17,1.47000382384841E-16
PRMT1,0.7027026151,6.7645359813,8.96941102483426E-27,4.95288103499086E-26
RRAS,-0.7506351296,5.244817656,5.1763753071537E-23,2.39016642435779E-22
PRRG2,0.8318952614,3.6712426428,3.18167720856749E-19,1.2197402839115E-18
SCAF1,0.7973766396,6.3594649754,6.36997691252024E-31,4.25490633039553E-30
PRR12,0.556594979,5.9320886438,4.38258455272193E-19,1.66881245992691E-18
TSKS,-1.4306038685,-1.9665758668,7.30664424081738E-26,3.85662384913919E-25
FLRT1,0.6790516679,-0.8015711618,5.69511387763551E-07,1.07011532721183E-06
ASL,0.6125018602,4.4229911216,6.75640353165574E-17,2.29318992586055E-16
SBDS,-0.7248748447,6.4074563937,1.45429130550913E-62,2.74154109578826E-61
CSN1S1,-0.2123133531,4.216423123,0.6321477846,0.6642451629
STAT5A,-1.38262547,5.9425374514,6.03600870138268E-85,1.8622956189709E-83
WNK4,1.4422957299,5.0293909526,5.32597346016856E-10,1.22131167046575E-09
BECN1,0.2150903374,6.0290024196,0.0005028578,0.0007563066
PRKCG,1.3751082175,-2.5334828292,3.70899132587846E-09,8.05345372998694E-09
TRAP1,0.5825850532,6.1308657079,6.58300747246982E-20,2.60157695221525E-19
GLIS2,0.9792365217,5.1577545439,6.06747459767647E-25,3.07634787875468E-24
NSRP1,0.0973398462,5.4191494126,0.1139660422,0.1346970647
DNAJC8,-0.0002001631,6.4458217792,0.9895151516,0.9908286488
AHDC1,-0.2609867347,5.3762873875,1.81879421332597E-05,3.05790831877535E-05
IFI6,2.9551092843,8.5193497229,6.66976896845767E-46,7.70129937974274E-45
DACH2,-0.1468536988,-1.7572832288,0.4570011919,0.4930549006
ZNF384,0.1384711859,4.768508639,0.0186415643,0.0241490768
EMG1,0.4862903522,4.2203256873,9.82465671249153E-15,2.97822591979112E-14
UXT,0.1656769938,5.5238224317,0.0041454457,0.0057306242
CFP,-1.3273665059,0.9693217108,7.81730198944912E-32,5.42316585243E-31
ELK1,0.6396817597,5.4475642352,1.43944342263614E-39,1.34278801205775E-38
TIMM17B,1.2990361105,5.3196659513,1.91546374882646E-58,3.25185609291075E-57
PCNX4,0.0043273064,5.7975945028,0.9423379165,0.9499667663
